Date,Inflation
2020/2,2.30
2020/3,1.50
2020/4,0.30
2020/5,0.10
2020/6,0.60
2020/7,1
2020/8,1.30
2020/9,1.40
2020/10,1.20
2020/11,1.20
2020/12,1.40
2021/1,1.40
2021/2,1.70
2021/3,2.60
2021/4,4.20
2021/5,5
2021/6,5.40
2021/7,5.40
2021/8,5.30
2021/9,5.40
2021/10,6.20
2021/11,6.80
2021/12,7
2022/1,7.50
2022/2,7.90
2022/3,8.50
2022/4,8.30
2022/5,8.60
2022/6,9.10
2022/7,8.50
2022/8,8.30
2022/9,8.20
2022/10,7.70
2022/11,7.10
2022/12,6.50
2023/1,6.40
2023/2,6
2023/3,5
2023/4,4.90
2023/5,4
2023/6,3
2023/7,3.20
2023/8,3.70
2023/9,3.70
2023/10,3.20
2023/11,3.10
2023/12,3.40
2024/1,3.10
2024/2,3.20
